state_id,state_string,block_name
0,Block{minecraft:air},minecraft:air
1,Block{minecraft:stone},minecraft:stone
2,Block{minecraft:granite},minecraft:granite
3,Block{minecraft:polished_granite},minecraft:polished_granite
4,Block{minecraft:diorite},minecraft:diorite
5,Block{minecraft:polished_diorite},minecraft:polished_diorite
6,Block{minecraft:andesite},minecraft:andesite
7,Block{minecraft:polished_andesite},minecraft:polished_andesite
8,Block{minecraft:grass_block}[snowy=true],minecraft:grass_block
9,Block{minecraft:grass_block}[snowy=false],minecraft:grass_block
10,Block{minecraft:dirt},minecraft:dirt
11,Block{minecraft:coarse_dirt},minecraft:coarse_dirt
12,Block{minecraft:podzol}[snowy=true],minecraft:podzol
13,Block{minecraft:podzol}[snowy=false],minecraft:podzol
14,Block{minecraft:cobblestone},minecraft:cobblestone
15,Block{minecraft:oak_planks},minecraft:oak_planks
16,Block{minecraft:spruce_planks},minecraft:spruce_planks
17,Block{minecraft:birch_planks},minecraft:birch_planks
18,Block{minecraft:jungle_planks},minecraft:jungle_planks
19,Block{minecraft:acacia_planks},minecraft:acacia_planks
20,Block{minecraft:cherry_planks},minecraft:cherry_planks
21,Block{minecraft:dark_oak_planks},minecraft:dark_oak_planks
22,Block{minecraft:pale_oak_wood}[axis=x],minecraft:pale_oak_wood
23,Block{minecraft:pale_oak_wood}[axis=y],minecraft:pale_oak_wood
24,Block{minecraft:pale_oak_wood}[axis=z],minecraft:pale_oak_wood
25,Block{minecraft:pale_oak_planks},minecraft:pale_oak_planks
26,Block{minecraft:mangrove_planks},minecraft:mangrove_planks
27,Block{minecraft:bamboo_planks},minecraft:bamboo_planks
28,Block{minecraft:bamboo_mosaic},minecraft:bamboo_mosaic
29,Block{minecraft:oak_sapling}[stage=0],minecraft:oak_sapling
30,Block{minecraft:oak_sapling}[stage=1],minecraft:oak_sapling
31,Block{minecraft:spruce_sapling}[stage=0],minecraft:spruce_sapling
32,Block{minecraft:spruce_sapling}[stage=1],minecraft:spruce_sapling
33,Block{minecraft:birch_sapling}[stage=0],minecraft:birch_sapling
34,Block{minecraft:birch_sapling}[stage=1],minecraft:birch_sapling
35,Block{minecraft:jungle_sapling}[stage=0],minecraft:jungle_sapling
36,Block{minecraft:jungle_sapling}[stage=1],minecraft:jungle_sapling
37,Block{minecraft:acacia_sapling}[stage=0],minecraft:acacia_sapling
38,Block{minecraft:acacia_sapling}[stage=1],minecraft:acacia_sapling
39,Block{minecraft:cherry_sapling}[stage=0],minecraft:cherry_sapling
40,Block{minecraft:cherry_sapling}[stage=1],minecraft:cherry_sapling
41,Block{minecraft:dark_oak_sapling}[stage=0],minecraft:dark_oak_sapling
42,Block{minecraft:dark_oak_sapling}[stage=1],minecraft:dark_oak_sapling
43,Block{minecraft:pale_oak_sapling}[stage=0],minecraft:pale_oak_sapling
44,Block{minecraft:pale_oak_sapling}[stage=1],minecraft:pale_oak_sapling
45,"Block{minecraft:mangrove_propagule}[age=0,hanging=true,stage=0,waterlogged=true]",minecraft:mangrove_propagule
46,"Block{minecraft:mangrove_propagule}[age=0,hanging=true,stage=0,waterlogged=false]",minecraft:mangrove_propagule
47,"Block{minecraft:mangrove_propagule}[age=0,hanging=true,stage=1,waterlogged=true]",minecraft:mangrove_propagule
48,"Block{minecraft:mangrove_propagule}[age=0,hanging=true,stage=1,waterlogged=false]",minecraft:mangrove_propagule
